codigo,nombre,descripcion,marca,modelo,ubicacion,medida,stock,unidaddemedida,precioalpublico
COD001,ACCESORIO PARA RECTIFICADORA CHICA 121PCS,,TRUPER                   ,100757,,0,1,JUEGO,S/ 32.00
COD002,ACCESORIOS PARA DREMEL,,TRUPER                   ,16285,,0,0,JUEGO,S/ 30.00
COD003,ACCESORIOS PARA NEUMATICO 15PCS,,TRUPER                   ,19094,,0,-2,UNIDAD,S/ 92.00
COD004,ACCESORIOS PARA NEUMATICO 17PCS,,TRUPER                   ,19022,,0,2,UNIDAD,S/ 75.00
COD005,ACCESORIOS PARA NEUMATICOS 18PCS,,TRUPER                   ,19079,,0,7,JUEGO,S/ 75.00
COD006,ACEITE 3 EN 1 30ML CHICO,,TRUPER                   ,16711,,0,21,UNIDAD,S/ 4.00
COD007,ACEITE 3 EN 1 90ML GRANDE,,TRUPER                   ,16712,,0,-2,UNIDAD,S/ 5.00
COD008,ACEITE PARA MOTOR DE 4 TIEMPOS 17OZ,,TRUPER                   ,14928,,0,2,UNIDAD,S/ 14.00
COD009,ACEITE PARA MOTOR DE 4 TIEMPOS 32OZ,,TRUPER                   ,14929,,0,3,UNIDAD,S/ 22.00
COD010,ACEITERA 180ML,,TRUPER                   ,14870,,0,0,UNIDAD,S/ 12.00
COD011,ACEITERA 300ML,,TRUPER                   ,14872,,0,8,UNIDAD,S/ 13.00
COD012,ACEITERA 500ML,,TRUPER                   ,14874,,0,13,UNIDAD,S/ 16.00
COD013,ACOPLE RAPIDO 1/4 HEMBRA,,TRUPER                   ,19084,,0,41,UNIDAD,S/ 13.00
COD014,ACOPLE RAPIDO 3/4 HEMBRA PARA RIEGO,,TRUPER                   ,12724,,0,10,UNIDAD,S/ 7.00
COD015,ACOPLE RAPIDO 3/4 MACHO PARA RIEGO,,TRUPER                   ,12722,,0,11,UNIDAD,S/ 8.00
COD016,ACOPLE RAPIDO 4PCS MACHO Y HEMBRA,,TRUPER                   ,19080,,0,11,JUEGO,S/ 34.00
COD017,ACOPLE RAPIDO 5PCS,,TRUPER                   ,19081,,0,15,JUEGO,S/ 27.00
COD018,ACOPLE RAPIDO 6PCS,,TRUPER                   ,18075,,0,6,JUEGO,S/ 40.00
COD019,ACOPLE RAPIDO HEMBRA 1/4,,TRUPER                   ,19029,,0,2,UNIDAD,S/ 20.00
COD020,ACOPLE RAPIDO MACHO 1/4,,TRUPER                   ,19085,,0,18,UNIDAD,S/ 13.00
COD021,ADAPTADOR 1/2 SDS PLUS A TALADRO,,TRUPER                   ,14654,,0,21,UNIDAD,S/ 8.00
COD022,ADAPTADOR PARA DADO ENCASTRE HEMBRA 1/2X3/4 MACHO,,TRUPER                   ,13426,,0,9,UNIDAD,S/ 17.00
COD023,ADAPTADOR PARA DADO HEMBRA 1/2X3/8 MACHO,,TRUPER                   ,13422,,0,11,UNIDAD,S/ 9.00
COD024,ADAPTADOR PARA DADO HEMBRA 3/4X1/2 MACHO,,TRUPER                   ,13424,,0,5,UNIDAD,S/ 21.00
COD025,ADAPTADOR PARA DADO HEMBRA 3/8X1/2 MACHO,,TRUPER                   ,13420,,0,8,UNIDAD,S/ 8.00
COD026,ADAPTADOR PARA DADO HEMBRA 3/8X1/4 MACHO,,TRUPER                   ,13423,,0,10,UNIDAD,S/ 7.00
COD027,"ADAPTADOR PARA PUNTA PH O PZ, MAGNETICO",,TRUPER                   ,11873,,0,14,UNIDAD,S/ 11.00
COD028,ADAPTADOR PARA TALADRO 1/4 ARTICULADA PARA PUNTAS,,TRUPER                   ,11875,,0,4,UNIDAD,S/ 19.00
COD029,ADAPTADOR PARA TALADRO 1/4 PARA PUNTA PH Y PZ.,,TRUPER                   ,17842,,0,0,UNIDAD,S/ 3.00
COD030,ADAPTADOR PARA TALADRO 1/4X100MM PARA PUNTA PH Y PZ,PAQUETE 5 UND,TRUPER                   ,11871,,0,17,UNIDAD,S/ 5.00
COD031,ADAPTADOR PARA TALADRO 1/4X60MM PARA PUNTA PH Y PZ,"JUEGO 5PCS
",TRUPER                   ,11867,,0,122,UNIDAD,S/ 3.50
COD032,ADAPTADOR PARA TALADRO 3PCS CON ENCASTRE PARA DADO,1/4 - 3/8 - 1/2,TRUPER                   ,10752,,0,9,JUEGO,S/ 10.00
COD033,ADAPTADOR PARA TALADRO 3PCS LARGO CON ENCASTRE PARA DADO,,TRUPER                   ,19599,,0,4,UNIDAD,S/ 23.00
COD034,AFILADOR DE CUCHILLO,,TRUPER                   ,15147,,0,4,UNIDAD,S/ 35.00
COD035,AFILADOR DE CUCHILLO BOLSILLO,,TRUPER                   ,14016,,0,3,UNIDAD,S/ 23.00
COD036,AFLOJATODO MULTIUSO 110ML,,TRUPER                   ,13468,,0,13,UNIDAD,S/ 7.00
COD037,AFLOJATODO MULTIUSO 235ML,,TRUPER                   ,13469,,0,17,UNIDAD,S/ 8.00
COD038,AFLOJATODO MULTIUSO 345ML,,TRUPER                   ,13470,,0,37,UNIDAD,S/ 11.00
COD039,AFLOJATODO MULTIUSO 400ML WT-400,,TRUPER                   ,13471,,0,-48,UNIDAD,S/ 12.00
COD040,AFLOJATODO MULTIUSO 550ML,,TRUPER                   ,13472,,0,40,UNIDAD,S/ 16.00
COD041,ALICATE A PRESION 10 CURVO,,TRUPER                   ,17423,,0,5,UNIDAD,S/ 27.00
COD042,ALICATE A PRESION 10 CURVO MANGO VINIL,,TRUPER                   ,17436,,0,15,UNIDAD,S/ 34.00
COD043,ALICATE A PRESION 10 RECTO,,TRUPER                   ,17424,,0,9,UNIDAD,S/ 27.00
